energy_class_int,energy_class,energy_labels_included_residential,energy_labels_included_office,Rc_wall_m2K_W,Rc_roof_m2K_W,Rc_floor_m2K_W,U_window_W_m2K,g_window,scenario
1,A-A+++++,"[1,2,3,4,5,6]","[1,2,3,4,5,6]",8,10,6,1,0.4,SQ
2,B-C,"[7,8]","[7,8]",3,4,2,2,0.6,SQ
3,D-E,"[9,10]","[9,10]",1,1.5,0.75,3,0.7,SQ
4,F-G,"[11,12]","[11,12]",0.35,0.5,0.25,6,0.8,SQ
1,A-A+++++,"[1,2,3,4,5,6]","[1,2,3,4,5,6]",8,10,6,1,0.4,2030
2,B-C,"[7,8,11,12]","[7,8,9,10,11,12]",3,4,2,2,0.6,2030
3,D-E,"[9,10]",[],1,1.5,0.75,3,0.7,2030
4,F-G,[],[],0.35,0.5,0.25,6,0.8,2030
1,A-A+++++,"[1,2,3,4,5,6,7,8]","[1,2,3,4,5,6,7,8]",8,10,6,1,0.4,2050_L
2,B-C,"[9,10,11,12]","[9,10,11,12]",3,4,2,2,0.6,2050_L
3,D-E,[],[],1,1.5,0.75,3,0.7,2050_L
4,F-G,[],[],0.35,0.5,0.25,6,0.8,2050_L
1,A-A+++++,"[1,2,3,4,5,6]","[1,2,3,4,5,6,7,8]",8,10,6,1,0.4,2050_M
2,B-C,"[7,8,9,10,11,12]","[9,10,11,12]",3,4,2,2,0.6,2050_M
3,D-E,[],[],1,1.5,0.75,3,0.7,2050_M
4,F-G,[],[],0.35,0.5,0.25,6,0.8,2050_M
1,A-A+++++,"[1,2,3,4,5,6]","[1,2,3,4,5,6]",8,10,6,1,0.4,2050_H
2,B-C,"[7,8,11,12]","[7,8,9,10,11,12]",3,4,2,2,0.6,2050_H
3,D-E,"[9,10]",[],1,1.5,0.75,3,0.7,2050_H
4,F-G,[],[],0.35,0.5,0.25,6,0.8,2050_H
