cooling_tech_one,cooling_tech_one,elasticity_electricity_demand,elasticity_carbon_emissions,elasticity_material_demand,cooling_tech_two
ASHP,ASHP,0.11654489838936959,0.10704996568923492,0.2878840578751943,GSHP
ASHP,ASHP,0.1970503696449579,0.2055543412650902,0.34675902907166156,WSHP
ASHP,ASHP,-0.07640372536679937,0.0008150338898763072,0.44335342798375477,chiller
ASHP,ASHP,-5.843279076974458e-17,0.05686576329606537,0.42044817781588006,AC_split
ASHP,ASHP,-0.3374608317967919,-0.2749783074543301,0.45516486838359443,AC_mobile
GSHP,GSHP,-0.12577862905408188,-0.114789880962308,-0.3518552644885468,ASHP
GSHP,GSHP,0.08758241270172995,0.10643626553912411,0.07494208621434044,WSHP
GSHP,GSHP,-0.20761528873414498,-0.11391926126898819,0.20042636419471577,chiller
GSHP,GSHP,-0.12577862905408188,-0.05392374795157204,0.1703707602718203,AC_split
GSHP,GSHP,-0.483708425635115,-0.4057263670185039,0.21600139310957414,AC_mobile
WSHP,WSHP,-0.2250035342718584,-0.23616408279823883,-0.44418432515679834,ASHP
WSHP,WSHP,-0.09269529872668503,-0.11408448571747712,-0.07865409949662625,GSHP
WSHP,WSHP,-0.3105903663815869,-0.23524181656731455,0.13237356592664568,chiller
WSHP,WSHP,-0.2250035342718584,-0.17155397027513175,0.1005886218657397,AC_split
WSHP,WSHP,-0.5965164943688434,-0.5413364653135453,0.1488649641897015,AC_mobile
chiller,chiller,0.07289637931936789,-0.0008154523551506459,-0.6169800008309565,ASHP
chiller,chiller,0.18358887103234375,0.1062924451141865,-0.22941764965748127,GSHP
chiller,chiller,0.2596842839219257,0.20485558229945192,-0.14441713958783992,WSHP
chiller,chiller,0.07289637931936789,0.05608033403381301,-0.034837238649139075,AC_split
chiller,chiller,-0.25096919669737827,-0.27591592347285676,0.0181161199111468,AC_mobile
AC_split,AC_split,-5.843279076974458e-17,-0.05897763397953114,-0.5733049124990447,ASHP
AC_split,AC_split,0.11654489838936959,0.05215290288802748,-0.19086499430171447,GSHP
AC_split,AC_split,0.1970503696449579,0.15481786366966016,-0.10739238144332124,WSHP
AC_split,AC_split,-0.07640372536679937,-0.05813321030090613,0.03408947431238865,chiller
AC_split,AC_split,-0.3374608317967919,-0.3424641615747247,0.05180660200830065,AC_mobile
AC_mobile,AC_mobile,0.27818651852689,0.23432923648176066,-0.6402293125563209,ASHP
AC_mobile,AC_mobile,0.3703213054527337,0.32291240016988576,-0.2500658305796288,GSHP
AC_mobile,AC_mobile,0.43274011591214007,0.40306322697521263,-0.1642736463447807,WSHP
AC_mobile,AC_mobile,0.21667475169286932,0.23500936567192804,-0.018325146800284,chiller
AC_mobile,AC_mobile,0.27818651852689,0.2815739300098028,-0.05355361199691516,AC_split
